activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300TKFZR4QBNE5D40,24660,NC,37151,37151031304,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,305000.0,95.0,4.625,1.382,2,4946.25,NA,1890.0,,379.59,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,134,39,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4713,12.62,70300,95,1430,2085,31
2022,549300TKFZR4QBNE5D40,11700,NC,37021,37021002701,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,American Indian or Alaska Native,Female,3,0,2,1,32,1,2,2,2,105000.0,56.818,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,225000,2,1,1,1,1,NA,43,38,3,10,2,,,,,5,,,,,2,4,1,5,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,3,,,,4354,20.6,80300,113,1001,1386,35
2022,549300TKFZR4QBNE5D40,20500,NC,37077,37077970601,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,2,2,2,235000.0,96.5,4.75,0.906,2,17914.48,NA,10761.76,5473.97,,372,NA,NA,2,1,2,2,235000,2,1,1,1,1,NA,83,50%-60%,2,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,6305,28.23,92900,100,1626,2356,22
2022,549300TKFZR4QBNE5D40,99999,NC,37161,37161961002,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,4,0,2,2,1,1,2,2,2,175000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,366,NA,6,2,1,2,2,NA,2,1,1,1,1,NA,33,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,3088,7.8,66900,109,912,1354,29
2022,549300TKFZR4QBNE5D40,11700,NC,37021,37021002503,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,205000.0,58.541,5.0,1.142,2,16290.31,NA,9639.26,4681.76,,372,NA,12,2,1,2,2,345000,2,1,1,1,1,NA,42,50%-60%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4354,20.97,80300,80,1280,1851,36
2022,549300TKFZR4QBNE5D40,99999,NC,37155,37155960203,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,3,0,2,2,1,1,2,2,2,145000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,155000,2,1,1,1,1,NA,40,50%-60%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,1,,,,,5,,,,3204,56.93,66900,104,882,1329,29
2022,549300TKFZR4QBNE5D40,99999,NC,37155,37155960203,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,4,0,2,2,1,1,2,2,2,235000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,59,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,<25,9999,No,NA,1,1,6,,,,,10,,,,3204,56.93,66900,104,882,1329,29
2022,549300TKFZR4QBNE5D40,34820,NC,37019,37019020101,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,71,2,3,1,1,2,2,2,355000.0,100.0,5.25,0.991,2,19413.69,NA,9142.69,1342.69,,372,NA,NA,2,1,2,2,355000,1,1,3,5,1,NA,61,50%-60%,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,2698,54.78,77500,67,789,1173,24
2022,549300TKFZR4QBNE5D40,99999,NC,37161,37161960501,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,225000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,366,NA,6,2,1,2,2,NA,2,1,1,1,1,NA,71,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,1,1,6,,,,,10,,,,2600,19.38,66900,104,1139,1604,46
2022,549300TKFZR4QBNE5D40,99999,NC,37039,37039930502,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,2,31,1,2,2,2,265000.0,93.679,5.625,1.649,2,20243.14,NA,10824.19,5004.19,,372,NA,NA,2,1,2,2,285000,2,1,1,1,1,NA,98,42,2,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,3587,12.82,66900,103,1325,2312,26
2022,549300TKFZR4QBNE5D40,40580,NC,37127,37127011000,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,215000.0,92.52,5.25,1.395,2,17497.3,NA,10626.07,5556.07,,372,NA,NA,2,1,2,2,225000,2,1,1,1,1,NA,87,42,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,4235,50.48,61500,90,1390,2225,42
2022,549300TKFZR4QBNE5D40,99999,NC,37155,37155960203,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,3,0,2,2,1,1,2,2,2,145000.0,111.543,NA,NA,3,NA,NA,NA,NA,NA,366,NA,6,2,1,2,2,135000,2,1,1,1,1,NA,41,50%-60%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,4,,,,3204,56.93,66900,104,882,1329,29
2022,549300TKFZR4QBNE5D40,22180,NC,37051,37051002600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,235000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,1,1,3,5,1,NA,83,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4754,35.07,66400,119,1442,2234,36
2022,549300TKFZR4QBNE5D40,20500,NC,37145,37145920300,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,4,0,2,3,1,1,2,2,2,275000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,84,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,6168,52.84,92900,72,1460,2880,55
2022,549300TKFZR4QBNE5D40,99999,NC,37199,37199960101,C,FSA/RHS:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,4,1,1,2,2,2,275000.0,95.704,5.0,0.81,2,20418.88,NA,13030.39,6962.48,,372,NA,NA,2,1,2,2,295000,2,1,1,1,1,NA,65,38,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,4,,,,,10,,,,3977,8.67,66900,98,1131,2363,33
2022,549300TKFZR4QBNE5D40,15500,NC,37001,37001021400,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,205000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,46,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,6,,,,,10,,,,2668,13.34,78200,158,1065,1342,48
2022,549300TKFZR4QBNE5D40,11700,NC,37021,37021003202,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,335000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,1,1,3,5,1,NA,83,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,65-74,No,Yes,1,1,6,,,,,10,,,,4846,13.5,80300,152,1366,1855,28
2022,549300TKFZR4QBNE5D40,99999,NC,37161,37161961002,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,235000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,2,1,1,1,1,NA,64,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,3088,7.8,66900,109,912,1354,29
2022,549300TKFZR4QBNE5D40,22180,NC,37051,37051002900,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Black or African American,Male,3,0,2,3,1,1,2,2,2,215000.0,99.341,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,185000,2,1,1,1,1,NA,57,37,2,10,3,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,3,,,,4197,34.05,66400,108,1365,2147,28
2022,549300TKFZR4QBNE5D40,24660,NC,37151,37151030504,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,145000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,2,1,1,1,1,NA,74,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,5871,7.48,70300,84,1728,2595,27
2022,549300TKFZR4QBNE5D40,22180,NC,37085,37085070903,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,195000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,170,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,55-64,No,No,1,1,6,,,,,10,,,,2293,42.83,66400,130,638,954,27
2022,549300TKFZR4QBNE5D40,20500,NC,37145,37145920601,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,215000.0,96.484,5.25,0.805,2,13031.39,NA,6233.6,4343.6,,360,NA,NA,2,2,2,2,215000,2,1,1,1,1,NA,43,50%-60%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,1,,,,,10,,,,5145,34.95,92900,68,1723,2347,37
2022,549300TKFZR4QBNE5D40,20500,NC,37063,37063002100,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,215000.0,96.356,5.375,1.735,2,17634.47,NA,11660.45,6460.68,,372,NA,NA,2,1,2,2,215000,2,1,1,1,1,NA,73,30%-<36%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,9056,36.7,92900,108,2534,3007,26
2022,549300TKFZR4QBNE5D40,15500,NC,37001,37001022001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,2,1,1,2,2,2,245000.0,96.5,5.375,1.585,2,15416.08,NA,7650.9,5760.9,,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,68,49,1,2,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,3759,23.81,78200,116,1196,1598,34
2022,549300TKFZR4QBNE5D40,99999,NC,37175,37175960602,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,225000.0,74.503,5.625,1.277,2,18881.23,NA,11443.94,6581.94,,372,NA,NA,2,1,2,2,305000,2,1,1,1,1,NA,45,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,1331,10.22,66900,83,434,1177,37
2022,549300TKFZR4QBNE5D40,11700,NC,37021,37021002304,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,315000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,46,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,1675,16.18,80300,176,480,751,15
2022,549300TKFZR4QBNE5D40,27340,NC,37133,37133002100,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,3,0,2,4,1,1,2,2,2,195000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,97,40,2,3,2,,,,,1,14,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,4,,,,,5,,,,5900,45.71,60100,106,1572,2497,41
2022,549300TKFZR4QBNE5D40,16740,NC,37007,37007920400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,105000.0,96.5,4.625,2.351,2,5691.83,NA,2162.47,272.47,,360,NA,NA,2,2,2,2,115000,1,1,3,5,1,NA,37,44,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,2475,75.64,91700,33,595,1297,46
2022,549300TKFZR4QBNE5D40,99999,NC,37181,37181960901,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Joint,Joint,1,71,2,2,1,1,2,2,2,225000.0,96.5,6.0,2.372,2,16324.76,NA,8403.51,3184.26,,372,NA,NA,2,1,2,2,235000,2,1,1,1,1,NA,61,50%-60%,1,2,2,,,,,2,,,,,2,2,5,,,,,2,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,2860,66.75,66900,121,802,1232,26
2022,549300TKFZR4QBNE5D40,40580,NC,37127,37127011104,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,4,1,1,2,2,2,265000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,81,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,2538,39.8,61500,116,542,797,34
2022,549300TKFZR4QBNE5D40,49180,NC,37169,37169070503,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,4,1,1,2,2,2,355000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,355000,1,1,3,5,1,NA,95,30%-<36%,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,1,1,4,,,,,9,,,,5892,9.93,74800,112,1852,2400,35
2022,549300TKFZR4QBNE5D40,99999,NC,37047,37047931202,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Joint,Joint,4,0,2,2,1,1,2,2,2,385000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,372,NA,NA,2,1,2,2,NA,2,1,1,1,1,NA,160,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,1831,45.33,66900,67,598,800,31
2022,549300TKFZR4QBNE5D40,11700,NC,37087,37087921100,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,1,71,2,3,31,1,2,2,2,285000.0,97.729,3.75,0.187,2,13693.63,NA,11899.07,5707.38,,372,NA,NA,2,1,2,2,295000,2,1,1,1,1,NA,102,38,2,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,25-34,No,No,1,1,1,,,,,10,,,,2620,11.22,80300,80,639,1295,42
2022,549300TKFZR4QBNE5D40,11700,NC,37087,37087920102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,1,1,1,2,2,2,345000.0,95.0,5.125,-0.053,2,8546.55,NA,5737.5,3847.5,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,78,37,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,1,,,,,10,,,,3997,6.35,80300,87,1115,2291,29
2022,549300TKFZR4QBNE5D40,16740,NC,37071,37071030700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,245000.0,96.5,4.625,0.937,2,14637.41,NA,7696.61,5806.61,,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,51,50%-60%,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,1,1,1,,,,,10,,,,3215,22.46,91700,88,882,1455,53
2022,549300TKFZR4QBNE5D40,20500,NC,37145,37145920601,C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Race Not Available,Male,4,0,2,2,1,1,2,2,2,175000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,366,NA,6,2,1,2,2,NA,2,1,1,1,1,NA,35,NA,9,9,1,11,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,5145,34.95,92900,68,1723,2347,37
